Marine Recreational Information Program Query Results

Your Query Parameters:

·Query: MRIP CATCH TIME SERIES

·Year: 1981 - 2018

·Wave: BY WAVE

·Geographic Area: NORTH ATLANTIC BY STATE

·Species: SUMMER FLOUNDER                                                                                                                                                                                         

·Fishing Mode: ALL MODES BY MODE

·Fishing Area: ALL AREAS BY AREA

·Type of Catch: TOTAL CATCH (TYPE A + B1 + B2)

Information:

·NUMBERS OF FISH

PSE (proportional standard error) is automatically included in all outputs. It expresses the standard error of an estimate as a percentage of the estimate and is a

measure of precision.

The following cases have been excluded from results below due to insufficient sample sizes:

CT-2013-CHARTER                           ,RI-2013-CHARTER                           ,CT-2014-CHARTER                           ,CT-2015-CHARTER                           ,

Estimates replaced by a * indicates all estimates excluded.

Estimates including these cases are available by running this query at the annual level.

"Estimate Status","Year","Wave","State","Common Name","Fishing Mode","Fishing Area","Total Catch (A+B1+B2)","PSE"
"FINAL",1986,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",6008,86.5
"FINAL",1986,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",3415510,45.4
"FINAL",1986,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (> 3 MI)",12046,101.4
"FINAL",1987,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",96795,100
"FINAL",1987,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",5174,83.7
"FINAL",1987,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",34427,89.6
"FINAL",1987,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)",5292,91.7
"FINAL",1987,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",278462,69.3
"FINAL",1987,"MAY/JUNE","NEW HAMPSHIRE","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",2042,74.2
"FINAL",1987,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","SHORE","INLAND",30625,90
"FINAL",1987,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",9354,96.9
"FINAL",1987,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",2285,118.4
"FINAL",1987,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",29382,53.9
"FINAL",1987,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","PARTY/CHARTER BOAT","INLAND",1051,90.1
"FINAL",1987,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",21577,69.4
"FINAL",1987,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",260143,24.4
"FINAL",1987,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",12227,77.3
"FINAL",1987,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",32903,77.9
"FINAL",1987,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",147227,89.3
"FINAL",1987,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",104086,111.7
"FINAL",1987,"JULY/AUGUST","NEW HAMPSHIRE","SUMMER FLOUNDER","SHORE","INLAND",807,88.5
"FINAL",1987,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",4148,96.7
"FINAL",1987,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","SHORE","INLAND",5410,64
"FINAL",1987,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (> 3 MI)",4876,58.9
"FINAL",1987,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",85778,45.2
"FINAL",1987,"SEPTEMBER/OCTOBER","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",1807,106
"FINAL",1987,"SEPTEMBER/OCTOBER","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",25622,55.9
"FINAL",1987,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",1983,73.6
"FINAL",1987,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",68398,63.6
"FINAL",1987,"SEPTEMBER/OCTOBER","NEW HAMPSHIRE","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",832,83.6
"FINAL",1987,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","SHORE","INLAND",156145,102.2
"FINAL",1987,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",2072,101.2
"FINAL",1987,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",25781,87
"FINAL",1988,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","PARTY/CHARTER BOAT","INLAND",13,100
"FINAL",1988,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",1447,98.8
"FINAL",1988,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",1380,97
"FINAL",1988,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",16308,79
"FINAL",1988,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","INLAND",6570,102.6
"FINAL",1988,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)",8,112.6
"FINAL",1988,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",3798,50.2
"FINAL",1988,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",18289,101.7
"FINAL",1988,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",12285,70.8
"FINAL",1988,"MAY/JUNE","NEW HAMPSHIRE","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",443,75.6
"FINAL",1988,"MAY/JUNE","NEW HAMPSHIRE","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",2692,91.3
"FINAL",1988,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",16962,77.6
"FINAL",1988,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","SHORE","INLAND",23139,73.2
"FINAL",1988,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",238905,74
"FINAL",1988,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",3458,76.9
"FINAL",1988,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",19570,61.4
"FINAL",1988,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",14333,77.3
"FINAL",1988,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",92239,29.8
"FINAL",1988,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","INLAND",255463,77.6
"FINAL",1988,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)",28,103.7
"FINAL",1988,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",6461,65.7
"FINAL",1988,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",9146,61.9
"FINAL",1988,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",314587,34.7
"FINAL",1988,"JULY/AUGUST","NEW HAMPSHIRE","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",1882,106.8
"FINAL",1988,"JULY/AUGUST","NEW HAMPSHIRE","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",1286,21.9
"FINAL",1988,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",6635,78.3
"FINAL",1988,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","SHORE","INLAND",25405,71.7
"FINAL",1988,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",84194,28.5
"FINAL",1988,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",34244,64.9
"FINAL",1988,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",33163,72.5
"FINAL",1988,"SEPTEMBER/OCTOBER","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",14247,83.1
"FINAL",1988,"SEPTEMBER/OCTOBER","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",68946,64.1
"FINAL",1988,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",23494,34
"FINAL",1988,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","INLAND",4230,73
"FINAL",1988,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)",8,106.8
"FINAL",1988,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",4862,70.3
"FINAL",1988,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",1214,86.4
"FINAL",1988,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",38144,79.5
"FINAL",1988,"SEPTEMBER/OCTOBER","NEW HAMPSHIRE","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",2145,87.6
"FINAL",1988,"SEPTEMBER/OCTOBER","NEW HAMPSHIRE","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",2104,83.1
"FINAL",1988,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",5135,56.2
"FINAL",1988,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","SHORE","INLAND",12360,82.6
"FINAL",1988,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",12824,87.6
"FINAL",1988,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",6424,79.8
"FINAL",1988,"NOVEMBER/DECEMBER","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",2412,106.1
"FINAL",1989,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",7627,72.7
"FINAL",1989,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",2009,96.8
"FINAL",1989,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",1455,90.6
"FINAL",1989,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","SHORE","INLAND",10216,67.3
"FINAL",1989,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",94491,36.1
"FINAL",1989,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",948,64.4
"FINAL",1989,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",48068,89.7
"FINAL",1989,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",64832,41.8
"FINAL",1989,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (> 3 MI)",59,103.6
"FINAL",1989,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",1860,75.8
"FINAL",1989,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",30344,47.7
"FINAL",1989,"JULY/AUGUST","NEW HAMPSHIRE","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",3687,45.7
"FINAL",1989,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",4216,52.6
"FINAL",1989,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","SHORE","INLAND",1381,98.5
"FINAL",1989,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (> 3 MI)",213,99.9
"FINAL",1989,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",62688,36.5
"FINAL",1989,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",3484,95.4
"FINAL",1989,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",44785,72.4
"FINAL",1989,"SEPTEMBER/OCTOBER","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",839,105.2
"FINAL",1989,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",11278,61.6
"FINAL",1989,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",2596,76.6
"FINAL",1989,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",5892,92
"FINAL",1989,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",4302,98.7
"FINAL",1990,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",1313,88.7
"FINAL",1990,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","PARTY/CHARTER BOAT","INLAND",155,100.8
"FINAL",1990,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",150,100.8
"FINAL",1990,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",4300,51.5
"FINAL",1990,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","INLAND",13627,101.6
"FINAL",1990,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)",86,102.4
"FINAL",1990,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (> 3 MI)",174,101.8
"FINAL",1990,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",1920,76.2
"FINAL",1990,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",17968,89.1
"FINAL",1990,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","PARTY/CHARTER BOAT","INLAND",477,41.8
"FINAL",1990,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",47511,45
"FINAL",1990,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",33539,96.3
"FINAL",1990,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","INLAND",8006,98.4
"FINAL",1990,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",182,100.5
"FINAL",1990,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",264,71.9
"FINAL",1990,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",35298,46.6
"FINAL",1990,"JULY/AUGUST","NEW HAMPSHIRE","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",38238,74.6
"FINAL",1990,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",17061,74.4
"FINAL",1990,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","SHORE","INLAND",13339,100.4
"FINAL",1990,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (> 3 MI)",632,96.7
"FINAL",1990,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",34840,38
"FINAL",1990,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",865,64
"FINAL",1990,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",58703,42.2
"FINAL",1990,"SEPTEMBER/OCTOBER","CONNECTICUT","SUMMER FLOUNDER","PARTY/CHARTER BOAT","INLAND",118,99.7
"FINAL",1990,"SEPTEMBER/OCTOBER","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",9735,89.3
"FINAL",1990,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",6267,68.7
"FINAL",1990,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","INLAND",7500,54.7
"FINAL",1990,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",5537,61.4
"FINAL",1990,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",18632,79.1
"FINAL",1990,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",1297,99.7
"FINAL",1990,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",8360,64.9
"FINAL",1990,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",748,72.8
"FINAL",1991,"MARCH/APRIL","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","INLAND",825,96.3
"FINAL",1991,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",1687,93.4
"FINAL",1991,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",34960,49
"FINAL",1991,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","INLAND",2596,102.2
"FINAL",1991,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",6458,56.7
"FINAL",1991,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",424,94.5
"FINAL",1991,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",39319,98
"FINAL",1991,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PARTY/CHARTER BOAT","INLAND",3060,79.9
"FINAL",1991,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",2045,80.9
"FINAL",1991,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",353,100.3
"FINAL",1991,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",22378,68.9
"FINAL",1991,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",2157,98.1
"FINAL",1991,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",104089,41.3
"FINAL",1991,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",3772,100.3
"FINAL",1991,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","INLAND",8905,74.1
"FINAL",1991,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)",54,98.7
"FINAL",1991,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",6564,53.8
"FINAL",1991,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",233,100.3
"FINAL",1991,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",55047,69.4
"FINAL",1991,"JULY/AUGUST","NEW HAMPSHIRE","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",1433,78.4
"FINAL",1991,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","SHORE","INLAND",7495,85.2
"FINAL",1991,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)",513,83.5
"FINAL",1991,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (> 3 MI)",427,71.9
"FINAL",1991,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",17869,37.3
"FINAL",1991,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",3036,58
"FINAL",1991,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",37763,39.1
"FINAL",1991,"SEPTEMBER/OCTOBER","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",10458,49.1
"FINAL",1991,"SEPTEMBER/OCTOBER","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",13429,42.5
"FINAL",1991,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",542,100.8
"FINAL",1991,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","INLAND",7384,99.8
"FINAL",1991,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","PARTY/CHARTER BOAT","INLAND",254,102.4
"FINAL",1991,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",427,59.5
"FINAL",1991,"SEPTEMBER/OCTOBER","NEW HAMPSHIRE","SUMMER FLOUNDER","SHORE","INLAND",12689,132.6
"FINAL",1991,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","SHORE","INLAND",5238,69.8
"FINAL",1991,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",279,98.1
"FINAL",1991,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",611,92.9
"FINAL",1991,"NOVEMBER/DECEMBER","RHODE ISLAND","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (> 3 MI)",11,99.9
"FINAL",1992,"MARCH/APRIL","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",4033,104.6
"FINAL",1992,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",1920,96.7
"FINAL",1992,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",23897,82.4
"FINAL",1992,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","INLAND",20560,103.6
"FINAL",1992,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)",22,102
"FINAL",1992,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",606,72.1
"FINAL",1992,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",13462,95.8
"FINAL",1992,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",2694,99.8
"FINAL",1992,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)",216,99.4
"FINAL",1992,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",38855,48.7
"FINAL",1992,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",2282,82.1
