Marine Recreational Information Program Query Results

Your Query Parameters:

·Query: MRIP CATCH TIME SERIES

·Year: 1981 - 2018

·Wave: BY WAVE

·Geographic Area: NORTH ATLANTIC BY STATE

·Species: SUMMER FLOUNDER                                                                                                                                                                                         

·Fishing Mode: ALL MODES BY MODE

·Fishing Area: ALL AREAS BY AREA

·Type of Catch: TOTAL CATCH (TYPE A + B1 + B2)

Information:

·NUMBERS OF FISH

PSE (proportional standard error) is automatically included in all outputs. It expresses the standard error of an estimate as a percentage of the estimate and is a

measure of precision.

The following cases have been excluded from results below due to insufficient sample sizes:

CT-2013-CHARTER                           ,RI-2013-CHARTER                           ,CT-2014-CHARTER                           ,CT-2015-CHARTER                           ,

Estimates replaced by a * indicates all estimates excluded.

Estimates including these cases are available by running this query at the annual level.

"Estimate Status","Year","Wave","State","Common Name","Fishing Mode","Fishing Area","Total Catch (A+B1+B2)","PSE"
"FINAL",1982,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",495941,47
"FINAL",1982,"SEPTEMBER/OCTOBER","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",49869,58.8
"FINAL",1982,"SEPTEMBER/OCTOBER","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",3934,66.6
"FINAL",1982,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",38808,70.3
"FINAL",1982,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","INLAND",73533,47.9
"FINAL",1982,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (> 3 MI)",1052,100.4
"FINAL",1982,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",185885,63.2
"FINAL",1982,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",11238,85.4
"FINAL",1982,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",2196,82.2
"FINAL",1982,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","SHORE","INLAND",25801,102.7
"FINAL",1982,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",1662,60.1
"FINAL",1982,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",48342,73
"FINAL",1982,"NOVEMBER/DECEMBER","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",967,102.2
"FINAL",1983,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",234195,79.1
"FINAL",1983,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","PARTY/CHARTER BOAT","INLAND",46369,49.8
"FINAL",1983,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",42194,118.6
"FINAL",1983,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)",721,84.6
"FINAL",1983,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","PARTY/CHARTER BOAT","INLAND",3081,110
"FINAL",1983,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",55201,77.1
"FINAL",1983,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",849,75.9
"FINAL",1983,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",51714,76.4
"FINAL",1983,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",306,82.8
"FINAL",1983,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",22808,53.1
"FINAL",1983,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",28242,98.1
"FINAL",1983,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","PARTY/CHARTER BOAT","INLAND",246057,40.4
"FINAL",1983,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",6154,20.4
